"belowILDThreshold","belowITDThreshold","belowLSDThreshold","lapILDErrorDb","lapITDErrorUs","lapLSDdB","message","method","retention","status","subjectId"
"True","True","True","0.660255423662076","10.167087011349308","3.5918650293116903","","RANF","19","completed","48"
"True","True","True","0.8274040576035137","7.172131147540984","3.3141800793701366","","RANF","19","completed","59"
"True","True","True","0.9713374034680482","14.554434636401847","3.933930503089366","","RANF","19","completed","68"
"True","True","True","0.7614142278719997","13.897646069777219","3.2137910865001613","","RANF","19","completed","71"
"True","True","True","0.7156247865114364","10.193358554014292","3.2562731197569104","","RANF","19","completed","73"
"True","True","True","0.7689167053427058","9.641656158049601","3.579591490489039","","RANF","19","completed","78"
"True","True","True","0.7218009164265294","12.557797393862966","3.3792265469240443","","RANF","19","completed","80"
"True","True","True","0.775660766004194","15.710382513661202","3.3652326184826573","","RANF","19","completed","82"
"True","True","True","0.7513758336662081","7.723833543505674","3.4291151936654405","","RANF","19","completed","83"
"True","True","True","0.9031902501318152","9.667927700714587","3.891412785923526","","RANF","19","completed","88"
"True","True","True","0.7615018822331723","13.030685161832704","3.549335421601514","","RANF","19","completed","89"
"True","True","True","0.6920769858243457","15.290037831021438","3.8203068821556907","","RANF","19","completed","100"
"True","True","True","0.8369285344240925","8.643337536780159","3.3566262565849967","","RANF","19","completed","104"
"True","True","True","0.937464208319413","13.950189155107186","3.948909565938151","","RANF","19","completed","116"
"True","True","True","1.0954375667160754","13.030685161832704","3.6146668850694517","","RANF","19","completed","118"
"True","True","True","0.8611535186773489","14.1078184110971","4.343670201356009","","RANF","19","completed","128"
"True","True","True","0.8797723347184283","22.17318200924758","3.5107127128948736","","RANF","19","completed","141"
"True","True","True","0.8299246009530299","16.472257250945777","3.386600362131979","","RANF","19","completed","143"
"True","True","True","0.6774215615611267","9.03741067675494","3.1438462034156758","","RANF","19","completed","148"
"True","True","True","0.9112211171130014","25.089323245060953","3.955476770477304","","RANF","19","completed","149"
"True","True","True","0.8420087422807594","16.367171080285832","3.373782771309183","","RANF","19","completed","152"
"True","True","True","0.9954047334378158","12.636612021857923","3.8994706966351846","","RANF","19","completed","166"
"True","True","True","0.7282070352292039","14.974779319041614","3.479487669230956","","RANF","19","completed","168"
"True","True","True","1.0267679100345242","12.92559899117276","3.7043609241779643","","RANF","19","completed","169"
"True","True","True","0.6608888057128383","11.191677175283731","3.086112528131443","","RANF","19","completed","172"
"True","True","True","1.0248360927634632","20.701975620008405","4.118156971618136","","RANF","19","completed","173"
"True","True","True","0.8700187888320511","13.950189155107186","3.7122650549177028","","RANF","19","completed","175"
"True","True","True","0.9804505169011023","12.71542664985288","3.8116166597898062","","RANF","19","completed","179"
"True","True","True","0.6884305744769287","11.82219419924338","3.1467695078830342","","RANF","19","completed","191"
"True","True","True","0.8380113416319087","12.873055905842792","3.348452907913488","","RANF","19","completed","193"
"True","True","True","1.0806266139496405","12.163724253888187","3.513617945110295","","RANF","19","completed","196"
"True","True","True","0.7350306788767335","12.662883564522907","3.6340748409598493","","RANF","19","completed","198"
"True","True","True","1.0187332730814873","24.53762084909626","4.162285307177331","","RANF","19","completed","200"
