subject,method,retainedDirections,LatAz0El0,LatAz0El0_nearestAzDeg,LatAz0El0_nearestElDeg,LatAz0El0_nearestAngularErrorDeg,LatAz45El0,LatAz45El0_nearestAzDeg,LatAz45El0_nearestElDeg,LatAz45El0_nearestAngularErrorDeg,LatAz90El0,LatAz90El0_nearestAzDeg,LatAz90El0_nearestElDeg,LatAz90El0_nearestAngularErrorDeg,VertAz0El0,VertAz0El0_nearestAzDeg,VertAz0El0_nearestElDeg,VertAz0El0_nearestAngularErrorDeg,VertAz0El45,VertAz0El45_nearestAzDeg,VertAz0El45_nearestElDeg,VertAz0El45_nearestAngularErrorDeg
0010,SUpDEq-MCA,5,1.6054716267870124,0.0,0.0,0.0,2.3354017345952864,45.0,0.0,0.0,4.681643148745971,90.0,0.0,0.0,7.537365865113815,0.0,0.0,0.0,5.111819894948752,0.0,45.0,0.0
0022,SUpDEq-MCA,5,1.55780055637701,0.0,0.0,0.0,2.197169935479959,45.0,0.0,0.0,4.941622718108951,90.0,0.0,0.0,6.053979359345297,0.0,0.0,0.0,5.153551860601446,0.0,45.0,0.0
0026,SUpDEq-MCA,5,1.7964449618270786,0.0,0.0,0.0,2.594036037197588,45.0,0.0,0.0,6.058707500881164,90.0,0.0,0.0,7.084158850408132,0.0,0.0,0.0,5.9971849609222065,0.0,45.0,0.0
0030,SUpDEq-MCA,5,1.7627271678468963,0.0,0.0,0.0,3.0883103531306824,45.0,0.0,0.0,5.280134765281403,90.0,0.0,0.0,7.315534104019773,0.0,0.0,0.0,5.218427343966325,0.0,45.0,0.0
0032,SUpDEq-MCA,5,1.8025455042787755,0.0,0.0,0.0,2.892977191828636,45.0,0.0,0.0,4.97805770748763,90.0,0.0,0.0,8.091911217857247,0.0,0.0,0.0,5.988812845869431,0.0,45.0,0.0
0033,SUpDEq-MCA,5,1.68658113625023,0.0,0.0,0.0,2.1700580014758146,45.0,0.0,0.0,4.871421831611269,90.0,0.0,0.0,7.366774306827967,0.0,0.0,0.0,7.810276162950632,0.0,45.0,0.0
0037,SUpDEq-MCA,5,1.6592341770860903,0.0,0.0,0.0,2.3829992054078803,45.0,0.0,0.0,6.33729162608815,90.0,0.0,0.0,7.830621709923708,0.0,0.0,0.0,7.481258790585654,0.0,45.0,0.0
0040,SUpDEq-MCA,5,1.6807931181445244,0.0,0.0,0.0,2.3403904192586777,45.0,0.0,0.0,6.0024389291076075,90.0,0.0,0.0,6.584436121348183,0.0,0.0,0.0,6.644044331312716,0.0,45.0,0.0
0048,SUpDEq-MCA,5,1.4975166144321685,0.0,0.0,0.0,2.501100381993312,45.0,0.0,0.0,6.004581101322482,90.0,0.0,0.0,5.787590360152397,0.0,0.0,0.0,5.927361141568914,0.0,45.0,0.0
0059,SUpDEq-MCA,5,1.8373839764451039,0.0,0.0,0.0,2.7925653280074734,45.0,0.0,0.0,6.030116329176788,90.0,0.0,0.0,12.463800692689162,0.0,0.0,0.0,4.498103138916311,0.0,45.0,0.0
0068,SUpDEq-MCA,5,1.6706868722465849,0.0,0.0,0.0,2.6502059120031283,45.0,0.0,0.0,4.8701312906092475,90.0,0.0,0.0,5.576432386318537,0.0,0.0,0.0,6.319740119059365,0.0,45.0,0.0
0071,SUpDEq-MCA,5,1.62147960217295,0.0,0.0,0.0,2.5474812136067615,45.0,0.0,0.0,6.675797212281657,90.0,0.0,0.0,5.563609160159096,0.0,0.0,0.0,7.761273020760813,0.0,45.0,0.0
0073,SUpDEq-MCA,5,1.8337616441842306,0.0,0.0,0.0,2.473656815627353,45.0,0.0,0.0,5.943678030802277,90.0,0.0,0.0,9.12554290491547,0.0,0.0,0.0,6.301530644133996,0.0,45.0,0.0
0078,SUpDEq-MCA,5,1.651753007567144,0.0,0.0,0.0,2.6414611725981514,45.0,0.0,0.0,4.367044549240246,90.0,0.0,0.0,6.515342658177119,0.0,0.0,0.0,5.719417147534939,0.0,45.0,0.0
0080,SUpDEq-MCA,5,1.571358227186785,0.0,0.0,0.0,2.3422863229312485,45.0,0.0,0.0,7.3402864694408,90.0,0.0,0.0,7.995000447877817,0.0,0.0,0.0,6.6758290443323745,0.0,45.0,0.0
0082,SUpDEq-MCA,5,1.7382603114465855,0.0,0.0,0.0,2.4436000629665937,45.0,0.0,0.0,4.435403494756959,90.0,0.0,0.0,6.530471246762812,0.0,0.0,0.0,5.89668059250422,0.0,45.0,0.0
0083,SUpDEq-MCA,5,1.7750473388409687,0.0,0.0,0.0,3.2391894660363936,45.0,0.0,0.0,5.1356639988835635,90.0,0.0,0.0,8.201611987598227,0.0,0.0,0.0,5.8366256511222385,0.0,45.0,0.0
0088,SUpDEq-MCA,5,1.4122818940901318,0.0,0.0,0.0,2.089673584643544,45.0,0.0,0.0,5.838846731778904,90.0,0.0,0.0,5.90338166154116,0.0,0.0,0.0,6.449140625295963,0.0,45.0,0.0
0089,SUpDEq-MCA,5,1.5616579888141242,0.0,0.0,0.0,2.775924401615821,45.0,0.0,0.0,3.9775542476122747,90.0,0.0,0.0,7.649436377538381,0.0,0.0,0.0,4.790541449768414,0.0,45.0,0.0
